corp_code	name	listed
00126362	삼성SDI	Y
00126371	삼성전기	Y
00126186	삼성에스디에스	Y
00912006	삼성디스플레이	N
00149655	삼성물산	Y
00126256	삼성생명	Y
00139214	삼성화재	Y
00126478	삼성중공업	Y
00877059	삼성바이오로직스	Y
00148276	제일기획	Y
00158501	에스원	Y
00165680	호텔신라	Y
00181712	SK	Y
01596425	SK스퀘어	Y
01555631	SK키파운드리	N
01265516	SK하이닉스시스템IC	N
00652706	SK하이스텍	N
00415390	SK하이이엔지	N
00560070	한미네트웍스	N
01241987	한화세미텍	N
00118804	동진쎄미켐	Y
01489648	솔브레인	Y
01135941	원익IPS	Y
00216647	원익홀딩스	Y
01261893	케이씨텍	Y
00411048	에스앤에스텍	Y
00223434	에프에스티	Y
01478712	대덕전자	Y
00105873	LG디스플레이	Y
00138020	SK실트론	N
00139889	SKC	Y
00105961	LG이노텍	Y
00447609	비에이치	Y
00152686	코리아써키트	Y
00301246	SFA반도체	Y
00158219	시그네틱스	Y
00227333	네패스	Y
00445054	하나마이크론	Y
